cycle,env,symbol
7932326128,linux,keystone_create_enclave
7932326260,linux,calculate_required_pages
7932326388,linux,create_enclave
7932528005,linux,epm_init
7932528069,linux,init_free_pages
7932533877,linux,get_free_page.part.0
7932535093,linux,keystone_rtld_init_runtim
7932950317,linux,rtld_vm_mmap
7932950447,linux,epm_alloc_rt_page
7932950557,linux,epm_alloc_page
7932950662,linux,__ept_walk_internal.const
7932950982,linux,get_free_page.part.0
7932951598,linux,__ept_walk_internal.const
7932951732,linux,get_free_page.part.0
7932952068,linux,__ept_walk_internal.const
7932952190,linux,get_free_page.part.0
7932976365,linux,epm_alloc_rt_page
7932976372,linux,epm_alloc_page
7932976474,linux,__ept_walk_internal.const
7932976728,linux,get_free_page.part.0
7932991007,linux,epm_alloc_rt_page
7932991059,linux,epm_alloc_page
7932991116,linux,__ept_walk_internal.const
7932991211,linux,get_free_page.part.0
7933125188,linux,epm_alloc_rt_page
7933125343,linux,epm_alloc_page
7933125448,linux,__ept_walk_internal.const
7933126028,linux,get_free_page.part.0
7933142697,linux,epm_alloc_rt_page_noexec
7933142750,linux,epm_alloc_page
7933142818,linux,__ept_walk_internal.const
7933143040,linux,get_free_page.part.0
7933143908,linux,__ept_walk_internal.const
7933143972,linux,get_free_page.part.0
7933144327,linux,epm_alloc_rt_page_noexec
7933144334,linux,epm_alloc_page
7933144346,linux,__ept_walk_internal.const
7933144486,linux,get_free_page.part.0
7933145458,linux,keystone_rtld_init_app
7933145674,linux,epm_alloc_user_page_noexe
7933145726,linux,epm_alloc_page
7933145739,linux,__ept_walk_internal.const
7933145856,linux,get_free_page.part.0
7933146156,linux,__ept_walk_internal.const
7933146288,linux,get_free_page.part.0
7933146576,linux,__ept_walk_internal.const
7933146788,linux,get_free_page.part.0
7933147142,linux,epm_alloc_user_page_noexe
7933147148,linux,epm_alloc_page
7933147161,linux,__ept_walk_internal.const
7933147211,linux,get_free_page.part.0
7933147617,linux,keystone_app_load_elf
7933380349,linux,keystone_app_load_elf_reg
7933380527,linux,epm_alloc_user_page
7933380586,linux,epm_alloc_page
7933380736,linux,__ept_walk_internal.const
7933381008,linux,get_free_page.part.0
7933381989,linux,__ept_walk_internal.const
7933382165,linux,get_free_page.part.0
7933382499,linux,__ept_walk_internal.const
7933382576,linux,get_free_page.part.0
7933397392,linux,epm_alloc_user_page
7933397399,linux,epm_alloc_page
7933397457,linux,__ept_walk_internal.const
7933397601,linux,get_free_page.part.0
7933408628,linux,utm_init
7933408641,linux,init_free_pages
7933409156,linux,keystone_rtld_init_untrus
7933409218,linux,utm_alloc_page
7933409284,linux,__ept_walk_internal.const
7933409565,linux,get_free_page.part.0
7933410122,linux,__ept_walk_internal.const
7933410234,linux,get_free_page.part.0
7933411855,sm,mcall_sm_create_enclave
7933411964,sm,copy_region_from_host
7933412322,sm,detect_region_overlap_ato
7933412480,sm,detect_region_overlap
7933413530,sm,create_enclave
7933413655,sm,pmp_region_init_atomic
7933413776,sm,pmp_region_init
7933414037,sm,detect_region_overlap
7933414776,sm,pmp_region_init_atomic
7933414796,sm,pmp_region_init
7933414839,sm,detect_region_overlap
7933415360,sm,encl_alloc_idx
7933415609,sm,pmp_set_global
7933415746,sm,send_and_sync_pmp_ipi
7933416169,sm,pmp_set
7933416622,sm,init_encl_pgtable
7933416962,sm,init_encl_pgtable
7933417144,sm,init_encl_pgtable
7933427457,sm,init_encl_pgtable
7933448654,sm,init_encl_pgtable
7933455833,sm,init_encl_pgtable
7933462857,sm,init_encl_pgtable
7933463039,sm,init_encl_pgtable
7933476744,sm,init_encl_pgtable
7933484254,sm,hash_enclave
7933484369,sm,hash_init
7933484674,sm,hash_epm
7933484921,sm,hash_epm
7933485091,sm,hash_epm
7933485316,sm,hash_extend
7933485555,sm,hash_extend_page
7937868056,sm,hash_extend_page
7942181271,sm,hash_epm
7942183477,sm,hash_extend
7942259924,sm,hash_extend_page
7946581034,sm,hash_epm
7946587629,sm,hash_epm
7946594350,sm,hash_extend
7946671386,sm,hash_extend_page
7950977080,sm,hash_extend_page
7955359121,sm,hash_epm
7955359295,sm,hash_epm
7955359422,sm,hash_extend_page
7959740557,sm,hash_extend_page
7964121689,sm,hash_extend_page
7968503185,sm,hash_extend_page
7972898170,sm,hash_epm
7972904847,sm,hash_extend
7972905097,sm,hash_extend_page
7977287290,sm,hash_extend_page
7981669064,sm,hash_finalize
7981746128,sm,copy_word_to_host
7981746264,sm,detect_region_overlap_ato
7981746375,sm,detect_region_overlap
7981814634,linux,enclave_idr_alloc
7981863625,linux,keystone_mmap
7981872748,linux,keystone_ioctl
7981873388,linux,keystone_run_enclave
7981873498,linux,get_enclave_by_id
7981875273,sm,mcall_sm_run_enclave
7981875334,sm,get_host_satp
7981875535,sm,run_enclave
7981875982,sm,swap_prev_state
7981876769,sm,swap_prev_mepc
7981876829,sm,swap_prev_stvec
7981876994,sm,pmp_set
7981877658,sm,osm_pmp_set
7981877664,sm,pmp_set
7981877896,sm,pmp_set
7981878476,runtime,rt_base
7981878552,runtime,init_timer
7981878757,runtime,get_cycles64
7981878815,runtime,get_cycles_inline
7981879456,runtime,sbi_set_timer
7981880031,user,unknown
7981880273,user,unknown
7981880275,user,unknown
7981880330,user,unknown
7981880377,user,unknown
7981880379,user,unknown
7981880432,user,unknown
7981880435,user,unknown
7981880437,user,unknown
7981880439,user,unknown
7981880441,user,unknown
7981880443,user,unknown
7981880498,user,unknown
7981880500,user,unknown
7981880502,user,unknown
7981880549,user,unknown
7981880552,user,unknown
7981880604,user,unknown
7981880606,user,unknown
7981880608,user,unknown
7981880665,runtime,encl_trap_handler
7981881398,runtime,handle_syscall
7981882173,sm,mcall_sm_attest_enclave
7981882227,sm,attest_enclave
7981882536,sm,get_phys_addr
7981882774,sm,copy_from_enclave
7981883056,sm,pmp_get_addr
7981883133,sm,pmp_get_addr
7981883205,sm,pmp_get_size
7981884640,sm,sm_sign
7981884749,sm,sign
7983154863,sm,get_phys_addr
7983155159,sm,copy_to_enclave
7983155472,sm,pmp_get_addr
7983155683,sm,pmp_get_addr
7983155755,sm,pmp_get_size
7983159653,runtime,return_to_encl
7983159947,user,unknown
7983159949,user,unknown
7983159951,user,unknown
7983160008,user,unknown
7983160010,user,unknown
7983160012,user,unknown
7983160014,user,unknown
7983160069,user,unknown
7983160071,user,unknown
7983160073,user,unknown
7983160075,user,unknown
7983160128,user,unknown
7983160130,user,unknown
7983160133,user,unknown
7983160180,user,unknown
7983160182,user,unknown
7983160235,user,unknown
7983160237,user,unknown
7983160240,user,unknown
7983160242,user,unknown
7983160245,user,unknown
7983160247,user,unknown
7983160354,runtime,encl_trap_handler
