cycle,env,symbol
13718035263,linux,keystone_create_enclave
13718035343,linux,calculate_required_pages
13718035471,linux,create_enclave
13718237525,linux,epm_init
13718237589,linux,init_free_pages
13718243493,linux,get_free_page.part.0
13718244655,linux,keystone_rtld_init_runtim
13718760831,linux,rtld_vm_mmap
13718760961,linux,epm_alloc_rt_page
13718761071,linux,epm_alloc_page
13718761176,linux,__ept_walk_internal.const
13718761451,linux,get_free_page.part.0
13718762519,linux,__ept_walk_internal.const
13718762656,linux,get_free_page.part.0
13718762992,linux,__ept_walk_internal.const
13718763066,linux,get_free_page.part.0
13718777315,linux,epm_alloc_rt_page
13718777367,linux,epm_alloc_page
13718777380,linux,__ept_walk_internal.const
13718777658,linux,get_free_page.part.0
13718792364,linux,epm_alloc_rt_page
13718792370,linux,epm_alloc_page
13718792472,linux,__ept_walk_internal.const
13718792702,linux,get_free_page.part.0
13718807220,linux,epm_alloc_rt_page
13718807226,linux,epm_alloc_page
13718807328,linux,__ept_walk_internal.const
13718807561,linux,get_free_page.part.0
13718821404,linux,epm_alloc_rt_page_noexec
13718821457,linux,epm_alloc_page
13718821470,linux,__ept_walk_internal.const
13718821685,linux,get_free_page.part.0
13718822453,linux,__ept_walk_internal.const
13718822517,linux,get_free_page.part.0
13718822870,linux,epm_alloc_rt_page_noexec
13718822876,linux,epm_alloc_page
13718822888,linux,__ept_walk_internal.const
13718822944,linux,get_free_page.part.0
13718824070,linux,keystone_rtld_init_app
13718824249,linux,epm_alloc_user_page_noexe
13718824301,linux,epm_alloc_page
13718824313,linux,__ept_walk_internal.const
13718824430,linux,get_free_page.part.0
13718824763,linux,__ept_walk_internal.const
13718824891,linux,get_free_page.part.0
13718825128,linux,__ept_walk_internal.const
13718825198,linux,get_free_page.part.0
13718825593,linux,epm_alloc_user_page_noexe
13718825599,linux,epm_alloc_page
13718825611,linux,__ept_walk_internal.const
13718825751,linux,get_free_page.part.0
13718826051,linux,keystone_app_load_elf
13719059772,linux,keystone_app_load_elf_reg
13719059950,linux,epm_alloc_user_page
13719060009,linux,epm_alloc_page
13719060122,linux,__ept_walk_internal.const
13719060394,linux,get_free_page.part.0
13719061191,linux,__ept_walk_internal.const
13719061373,linux,get_free_page.part.0
13719061659,linux,__ept_walk_internal.const
13719061832,linux,get_free_page.part.0
13719075639,linux,epm_alloc_user_page
13719075646,linux,epm_alloc_page
13719075703,linux,__ept_walk_internal.const
13719075885,linux,get_free_page.part.0
13719086829,linux,utm_init
13719086842,linux,init_free_pages
13719087675,linux,keystone_rtld_init_untrus
13719087737,linux,utm_alloc_page
13719087751,linux,__ept_walk_internal.const
13719087941,linux,get_free_page.part.0
13719088271,linux,__ept_walk_internal.const
13719088386,linux,get_free_page.part.0
13719089812,sm,mcall_sm_create_enclave
13719089921,sm,copy_region_from_host
13719090193,sm,detect_region_overlap_ato
13719090396,sm,detect_region_overlap
13719091502,sm,create_enclave
13719091678,sm,pmp_region_init_atomic
13719091796,sm,pmp_region_init
13719091927,sm,detect_region_overlap
13719092712,sm,pmp_region_init_atomic
13719092728,sm,pmp_region_init
13719092763,sm,detect_region_overlap
13719093240,sm,encl_alloc_idx
13719093490,sm,pmp_set_global
13719093572,sm,send_and_sync_pmp_ipi
13719094043,sm,pmp_set
13719094529,sm,init_encl_pgtable
13719094828,sm,init_encl_pgtable
13719095103,sm,init_encl_pgtable
13719105333,sm,init_encl_pgtable
13719126571,sm,init_encl_pgtable
13719133885,sm,init_encl_pgtable
13719141143,sm,init_encl_pgtable
13719141283,sm,init_encl_pgtable
13719155027,sm,init_encl_pgtable
13719162409,sm,hash_enclave
13719162526,sm,hash_init
13719162844,sm,hash_epm
13719163087,sm,hash_epm
13719163311,sm,hash_epm
13719163503,sm,hash_extend
13719163739,sm,hash_extend_page
13723547061,sm,hash_extend_page
13727860574,sm,hash_epm
13727862823,sm,hash_extend
13727939495,sm,hash_extend_page
13732260372,sm,hash_epm
13732266921,sm,hash_epm
13732273417,sm,hash_extend
13732350413,sm,hash_extend_page
13736655461,sm,hash_extend_page
13741036778,sm,hash_epm
13741036906,sm,hash_epm
13741036988,sm,hash_extend_page
13745418776,sm,hash_extend_page
13749799819,sm,hash_extend_page
13754181493,sm,hash_extend_page
13758575739,sm,hash_epm
13758582370,sm,hash_extend
13758582713,sm,hash_extend_page
13762964579,sm,hash_extend_page
13767346729,sm,hash_finalize
13767423801,sm,copy_word_to_host
13767423936,sm,detect_region_overlap_ato
13767424046,sm,detect_region_overlap
13767492288,linux,enclave_idr_alloc
13767538995,linux,keystone_mmap
13767547891,linux,keystone_ioctl
13767548582,linux,keystone_run_enclave
13767548692,linux,get_enclave_by_id
13767550383,sm,mcall_sm_run_enclave
13767550444,sm,get_host_satp
13767550678,sm,run_enclave
13767551072,sm,swap_prev_state
13767551813,sm,swap_prev_mepc
13767551873,sm,swap_prev_stvec
13767552039,sm,pmp_set
13767552658,sm,osm_pmp_set
13767552664,sm,pmp_set
13767552899,sm,pmp_set
13767553680,runtime,rt_base
13767553846,runtime,init_timer
13767554051,runtime,get_cycles64
13767554109,runtime,get_cycles_inline
13767554738,runtime,sbi_set_timer
13767555407,user,unknown
13767555559,user,unknown
13767555561,user,unknown
13767555616,user,unknown
13767555708,user,unknown
13767555710,user,unknown
13767555763,user,unknown
13767555766,user,unknown
13767555768,user,unknown
13767555770,user,unknown
13767555772,user,unknown
13767555774,user,unknown
13767555829,user,unknown
13767555831,user,unknown
13767555833,user,unknown
13767555925,user,unknown
13767555928,user,unknown
13767555980,user,unknown
13767555982,user,unknown
13767555984,user,unknown
13767556041,runtime,encl_trap_handler
13767556729,runtime,handle_syscall
13767557263,sm,mcall_sm_attest_enclave
13767557317,sm,attest_enclave
13767557627,sm,get_phys_addr
13767557883,sm,copy_from_enclave
13767558158,sm,pmp_get_addr
13767558288,sm,pmp_get_addr
13767558360,sm,pmp_get_size
13767559886,sm,sm_sign
13767559944,sm,sign
13768829393,sm,get_phys_addr
13768829624,sm,copy_to_enclave
13768829858,sm,pmp_get_addr
13768830077,sm,pmp_get_addr
13768830152,sm,pmp_get_size
13768833879,runtime,return_to_encl
13768834173,user,unknown
13768834175,user,unknown
13768834177,user,unknown
13768834234,user,unknown
13768834236,user,unknown
13768834238,user,unknown
13768834240,user,unknown
13768834295,user,unknown
13768834297,user,unknown
13768834299,user,unknown
13768834301,user,unknown
13768834354,user,unknown
13768834356,user,unknown
13768834359,user,unknown
13768834406,user,unknown
13768834408,user,unknown
13768834461,user,unknown
13768834463,user,unknown
13768834466,user,unknown
13768834468,user,unknown
13768834471,user,unknown
13768834473,user,unknown
13768834580,runtime,encl_trap_handler
13768834925,runtime,handle_syscall
13768835234,runtime,dispatch_edgecall_ocall
13768835598,runtime,copy_from_user
13768835669,runtime,__copy_user
13768839630,runtime,edge_call_get_offset_from
13768840594,sm,mcall_sm_stop_enclave
13768840648,sm,stop_enclave
13768840955,sm,swap_prev_state
13768841787,sm,swap_prev_mepc
