cycle,env,symbol
5154831588,linux,keystone_create_enclave
5154831720,linux,calculate_required_pages
5154831848,linux,create_enclave
5155033756,linux,epm_init
5155033820,linux,init_free_pages
5155039527,linux,get_free_page.part.0
5155040680,linux,keystone_rtld_init_runtim
5155401317,linux,rtld_vm_mmap
5155401447,linux,epm_alloc_rt_page
5155401557,linux,epm_alloc_page
5155401662,linux,__ept_walk_internal.const
5155401889,linux,get_free_page.part.0
5155402506,linux,__ept_walk_internal.const
5155402640,linux,get_free_page.part.0
5155403021,linux,__ept_walk_internal.const
5155403143,linux,get_free_page.part.0
5155417349,linux,epm_alloc_rt_page
5155417401,linux,epm_alloc_page
5155417414,linux,__ept_walk_internal.const
5155417551,linux,get_free_page.part.0
5155432746,linux,epm_alloc_rt_page
5155432752,linux,epm_alloc_page
5155432764,linux,__ept_walk_internal.const
5155433039,linux,get_free_page.part.0
5155627314,linux,epm_alloc_rt_page
5155627469,linux,epm_alloc_page
5155627574,linux,__ept_walk_internal.const
5155628075,linux,get_free_page.part.0
5155643625,linux,epm_alloc_rt_page_noexec
5155643678,linux,epm_alloc_page
5155643691,linux,__ept_walk_internal.const
5155643865,linux,get_free_page.part.0
5155644632,linux,__ept_walk_internal.const
5155644693,linux,get_free_page.part.0
5155645051,linux,epm_alloc_rt_page_noexec
5155645057,linux,epm_alloc_page
5155645070,linux,__ept_walk_internal.const
5155645123,linux,get_free_page.part.0
5155646129,linux,keystone_rtld_init_app
5155646348,linux,epm_alloc_user_page_noexe
5155646400,linux,epm_alloc_page
5155646413,linux,__ept_walk_internal.const
5155646578,linux,get_free_page.part.0
5155646914,linux,__ept_walk_internal.const
5155647045,linux,get_free_page.part.0
5155647288,linux,__ept_walk_internal.const
5155647539,linux,get_free_page.part.0
5155647945,linux,keystone_app_load_elf
5155883904,linux,keystone_app_load_elf_reg
5155884082,linux,epm_alloc_user_page
5155884141,linux,epm_alloc_page
5155884246,linux,__ept_walk_internal.const
5155884566,linux,get_free_page.part.0
5155885506,linux,__ept_walk_internal.const
5155885643,linux,get_free_page.part.0
5155886037,linux,__ept_walk_internal.const
5155886168,linux,get_free_page.part.0
5155900448,linux,epm_alloc_user_page
5155900500,linux,epm_alloc_page
5155900557,linux,__ept_walk_internal.const
5155900739,linux,get_free_page.part.0
5155914188,linux,utm_init
5155914201,linux,init_free_pages
5155915080,linux,keystone_rtld_init_untrus
5155915142,linux,utm_alloc_page
5155915156,linux,__ept_walk_internal.const
5155915388,linux,get_free_page.part.0
5155915904,linux,__ept_walk_internal.const
5155916064,linux,get_free_page.part.0
5155918787,sm,send_and_sync_pmp_ipi
5155918848,sm,pmp_set
5155920067,sm,send_and_sync_pmp_ipi
5155920585,sm,pmp_region_free_atomic
5155920973,sm,send_and_sync_pmp_ipi
5155921163,sm,pmp_region_free_atomic
5155921958,sm,search_rightmost_unset
5155931504,sm,get_phys_addr
5155940829,sm,get_phys_addr
5155946761,sm,get_phys_addr
5155968643,sm,get_phys_addr
5155968712,sm,get_phys_addr
5155975996,sm,get_phys_addr
5155989827,sm,get_phys_addr
5155989941,sm,get_phys_addr
5155990698,sm,hash_extend
5155991690,sm,hash_extend_page
5155991952,sm,hash_enclave
5155991960,sm,hash_finalize
5160374702,sm,hash_finalize
5164690423,sm,hash_extend_page
5164766866,sm,hash_enclave
5164766874,sm,hash_finalize
5169101854,sm,hash_extend_page
5169178741,sm,hash_enclave
5169178749,sm,hash_finalize
5173484780,sm,hash_finalize
5177866287,sm,hash_finalize
5182247682,sm,hash_finalize
5186628854,sm,hash_finalize
5191029823,sm,hash_extend_page
5191030156,sm,hash_enclave
5191030164,sm,hash_finalize
5195412046,sm,hash_finalize
5199793845,sm,sign
5199871674,sm,send_and_sync_pmp_ipi
5199871683,sm,pmp_set
5199871868,sm,mcall_sm_destroy_enclave
5199939213,linux,enclave_idr_alloc
5199987708,linux,keystone_mmap
5199996059,linux,keystone_ioctl
5199996668,linux,keystone_run_enclave
5199996778,linux,get_enclave_by_id
5199998824,sm,mcall_sm_resume_enclave
5200000013,sm,swap_prev_mepc
5200000127,sm,swap_prev_stvec
5200000918,sm,smm_init
5200001379,sm,exit_enclave
5200001742,runtime,rt_base
5200001908,runtime,init_timer
5200002163,runtime,get_cycles64
5200002221,runtime,get_cycles_inline
5200002762,runtime,sbi_set_timer
5200003240,user,unknown
5200003482,user,unknown
5200003484,user,unknown
5200003486,user,unknown
5200003488,user,unknown
5200003543,user,unknown
5200003590,user,unknown
5200003651,user,unknown
5200003653,user,unknown
5200003700,user,unknown
5200003702,user,unknown
5200003704,user,unknown
5200003759,user,unknown
5200003854,user,unknown
5200003856,user,unknown
5200003864,user,unknown
5200003867,user,unknown
5200003869,user,unknown
5200003872,user,unknown
5200003874,user,unknown
5200003928,user,unknown
5200003931,user,unknown
5200003934,user,unknown
5200003940,user,unknown
5200004036,user,unknown
5200004039,user,unknown
5200004041,user,unknown
5200004044,user,unknown
5200004047,user,unknown
5200004050,user,unknown
5200004053,user,unknown
5200004056,user,unknown
5200004059,user,unknown
5200004062,user,unknown
5200004064,user,unknown
5200004067,user,unknown
5200004070,user,unknown
5200004073,user,unknown
5200004076,user,unknown
5200004082,user,unknown
5200004085,user,unknown
5200004088,user,unknown
5200004090,user,unknown
5200004093,user,unknown
5200004096,user,unknown
5200004099,user,unknown
5200004102,user,unknown
5200004108,user,unknown
5200004111,user,unknown
5200004114,user,unknown
5200004116,user,unknown
5200004119,user,unknown
5200004122,user,unknown
5200004125,user,unknown
5200004128,user,unknown
5200004179,user,unknown
5200004182,user,unknown
5200004185,user,unknown
5200004187,user,unknown
5200004190,user,unknown
5200004193,user,unknown
5200004196,user,unknown
5200004199,user,unknown
5200004202,user,unknown
5200004205,user,unknown
5200004208,user,unknown
5200004210,user,unknown
5200004213,user,unknown
5200004216,user,unknown
5200004219,user,unknown
5200004222,user,unknown
5200004225,user,unknown
5200004228,user,unknown
5200004231,user,unknown
5200004233,user,unknown
5200004236,user,unknown
5200004239,user,unknown
5200004242,user,unknown
5200004245,user,unknown
5200004251,user,unknown
5200004254,user,unknown
5200004257,user,unknown
5200004259,user,unknown
5200004262,user,unknown
5200004265,user,unknown
5200004268,user,unknown
5200004271,user,unknown
5200004277,user,unknown
5200004280,user,unknown
5200004283,user,unknown
5200004289,user,unknown
5200004291,user,unknown
5200004293,user,unknown
5200004295,user,unknown
5200004297,user,unknown
5200004299,user,unknown
5200004302,user,unknown
5200004304,user,unknown
5200004306,user,unknown
5200004313,user,unknown
5200004316,user,unknown
5200004319,user,unknown
5200004322,user,unknown
5200004324,user,unknown
5200004329,user,unknown
