cycle,env,symbol
12143572743,linux,keystone_create_enclave
12143572823,linux,calculate_required_pages
12143572951,linux,create_enclave
12143573330,linux,kmem_cache_alloc
12143573954,linux,__get_free_pages
12143574065,linux,__alloc_pages_nodemask
12143574516,linux,get_page_from_freelist
12143575503,linux,__zone_watermark_ok
12143575932,linux,_raw_spin_lock_irqsave
12143579136,linux,__mod_zone_page_state
12143580707,linux,memset
12143774283,linux,kmem_cache_alloc
12143775365,linux,epm_init
12143775429,linux,init_free_pages
12143775604,linux,kmem_cache_alloc
12143776163,linux,kmem_cache_alloc
12143776389,linux,kmem_cache_alloc
12143776474,linux,kmem_cache_alloc
12143776697,linux,kmem_cache_alloc
12143776782,linux,kmem_cache_alloc
12143777005,linux,kmem_cache_alloc
12143777090,linux,kmem_cache_alloc
12143777313,linux,kmem_cache_alloc
12143777398,linux,kmem_cache_alloc
12143777621,linux,kmem_cache_alloc
12143777706,linux,kmem_cache_alloc
12143777929,linux,kmem_cache_alloc
12143778014,linux,kmem_cache_alloc
12143778237,linux,kmem_cache_alloc
12143778322,linux,kmem_cache_alloc
12143778545,linux,kmem_cache_alloc
12143778630,linux,kmem_cache_alloc
12143778853,linux,kmem_cache_alloc
12143778938,linux,kmem_cache_alloc
12143779161,linux,kmem_cache_alloc
12143779246,linux,kmem_cache_alloc
12143779469,linux,kmem_cache_alloc
12143779554,linux,kmem_cache_alloc
12143779777,linux,kmem_cache_alloc
12143779862,linux,kmem_cache_alloc
12143780085,linux,kmem_cache_alloc
12143780170,linux,kmem_cache_alloc
12143780393,linux,kmem_cache_alloc
12143780478,linux,kmem_cache_alloc
12143780701,linux,kmem_cache_alloc
12143780786,linux,kmem_cache_alloc
12143781134,linux,get_free_page.part.0
12143781257,linux,kfree
12143782347,linux,keystone_rtld_init_runtim
12143782558,linux,_copy_from_user
12143782581,linux,__copy_user
12143782704,linux,handle_exception
12143783490,linux,do_page_fault
12143784132,linux,down_read
12143784282,linux,__down_read
12143784392,linux,__down_read_common
12143784547,linux,_raw_spin_lock_irqsave
12143784867,linux,_raw_spin_unlock_irqresto
12143785117,linux,find_vma
12143785231,linux,vmacache_find
12143787157,linux,vmacache_update
12143787410,linux,handle_mm_fault
12143787652,linux,__handle_mm_fault
12143789153,linux,filemap_map_pages
12143789582,linux,radix_tree_next_chunk
12143790270,linux,__do_fault
12143790389,linux,filemap_fault
12143790715,linux,pagecache_get_page
12143790991,linux,find_get_entry
12143791209,linux,radix_tree_lookup_slot
12143791314,linux,__radix_tree_lookup
12143792020,linux,__do_page_cache_readahead
12143792361,linux,radix_tree_lookup
12143792369,linux,__radix_tree_lookup
12143792411,linux,__alloc_pages_nodemask
12143793069,linux,get_page_from_freelist
12143795048,linux,radix_tree_lookup
12143795055,linux,__radix_tree_lookup
12143795104,linux,__alloc_pages_nodemask
12143795215,linux,get_page_from_freelist
12143795555,linux,radix_tree_lookup
12143795562,linux,__radix_tree_lookup
12143795612,linux,__alloc_pages_nodemask
12143795676,linux,get_page_from_freelist
12143796040,linux,radix_tree_lookup
12143796047,linux,__radix_tree_lookup
12143796085,linux,__alloc_pages_nodemask
12143796149,linux,get_page_from_freelist
12143796422,linux,radix_tree_lookup
12143796429,linux,__radix_tree_lookup
12143796467,linux,__alloc_pages_nodemask
12143796531,linux,get_page_from_freelist
12143796790,linux,__cpuidle_text_end
12143803722,linux,__mod_zone_page_state
12143804680,linux,radix_tree_lookup
12143804687,linux,__radix_tree_lookup
12143804730,linux,__alloc_pages_nodemask
12143804930,linux,get_page_from_freelist
12143805427,linux,blk_start_plug
12143805861,linux,ext2_readpages
12143805975,linux,mpage_readpages
12143806381,linux,add_to_page_cache_lru
12143806560,linux,radix_tree_maybe_preload
12143806624,linux,__radix_tree_preload
12143807048,linux,__add_to_page_cache_locke
12143807187,linux,_raw_spin_lock_irq
12143807377,linux,page_cache_tree_insert
12143807554,linux,__radix_tree_create
12143807943,linux,shmem_mapping
12143808027,linux,__radix_tree_replace
12143808316,linux,replace_slot
12143808565,linux,__inc_node_page_state
12143808625,linux,__inc_node_state
12143809430,linux,lru_cache_add
12143809498,linux,__lru_cache_add
12143810143,linux,do_mpage_readpage
12143810693,linux,ext2_get_block
12143810868,linux,ext2_get_blocks.constprop
12143811137,linux,ext2_block_to_path
12143811662,linux,ext2_get_branch
12143813654,linux,bdev_read_page
12143814191,linux,mpage_alloc
12143814417,linux,bio_alloc_bioset
12143814654,linux,mempool_alloc
12143814884,linux,mempool_alloc_slab
12143814996,linux,kmem_cache_alloc
12143815765,linux,memset
12143816092,linux,bvec_alloc
12143816427,linux,kmem_cache_alloc
12143817204,linux,bio_add_page
12143818085,linux,add_to_page_cache_lru
12143818164,linux,radix_tree_maybe_preload
12143818228,linux,__radix_tree_preload
12143818564,linux,__add_to_page_cache_locke
12143818652,linux,_raw_spin_lock_irq
12143818796,linux,page_cache_tree_insert
12143818923,linux,__radix_tree_create
12143819127,linux,radix_tree_extend
12143819323,linux,radix_tree_node_alloc.con
12143819623,linux,kmem_cache_alloc
12143820663,linux,shmem_mapping
12143820707,linux,__radix_tree_replace
12143820936,linux,replace_slot
12143821024,linux,workingset_update_node
12143821207,linux,delete_node
12143821722,linux,__inc_node_page_state
12143821782,linux,__inc_node_state
12143822404,linux,lru_cache_add
12143822506,linux,__lru_cache_add
12143822709,linux,do_mpage_readpage
12143823236,linux,bio_add_page
12143823612,linux,add_to_page_cache_lru
12143823743,linux,radix_tree_maybe_preload
12143823753,linux,__radix_tree_preload
12143823932,linux,__add_to_page_cache_locke
12143823968,linux,_raw_spin_lock_irq
12143824109,linux,page_cache_tree_insert
12143824185,linux,__radix_tree_create
12143824459,linux,shmem_mapping
12143824492,linux,__radix_tree_replace
12143824527,linux,replace_slot
12143824557,linux,workingset_update_node
12143824587,linux,delete_node
12143824788,linux,__inc_node_page_state
12143824796,linux,__inc_node_state
12143825006,linux,lru_cache_add
12143825022,linux,__lru_cache_add
12143825172,linux,do_mpage_readpage
12143825353,linux,bio_add_page
12143825540,linux,guard_bio_eod
12143825659,linux,__disk_get_part
12143826031,linux,submit_bio
12143826697,linux,generic_make_request
12143826815,linux,generic_make_request_chec
12143827743,linux,blk_queue_enter
12143828430,linux,blk_queue_bio
12143828546,linux,blk_queue_bounce
12143829587,linux,blk_queue_split
12143831032,linux,bio_split
12143831154,linux,bio_clone_fast
12143831217,linux,bio_alloc_bioset
12143831487,linux,mempool_alloc
12143831933,linux,mempool_alloc_slab
12143832032,linux,kmem_cache_alloc
12143832464,linux,memset
12143832841,linux,__bio_clone_fast
12143833060,linux,bio_advance
12143833610,linux,bio_chain
12143833726,linux,generic_make_request
12143833791,linux,generic_make_request_chec
12143834543,linux,blk_attempt_plug_merge
12143834909,linux,_raw_spin_lock_irq
12143835125,linux,elv_merge
12143835434,linux,get_request
12143836039,linux,elv_may_queue
12143836311,linux,cfq_may_queue
